respid,eastwest,german,sex,age,agec,dg10,dg03,educ,isced97,iscd11,work,isco08,siops08,isei08,dw15,dw16,dw19c,dw03,mstat,dp01,di01a,di02a,incc,di01b,di02b,di05,di06,hhincc,dh01,dh11,aq01,gs01,gd01,gd02,dg13,dg08,dg09,dg11,ls01,id02,id01,im01,im17,im18,im19,im20,im21,iw04,pd11,pi07,pi01,pi02,lp03,lp04,lp05,lp06,hs01,hs04,hs05,hs06,hs07,hs09,land,bik,gkpol
1,1,1,2,54,3,1,4,5,5,5,1,5244,26,38.88,35,1,NA,NA,5,1,NA,10,10,NA,NA,NA,10,10,2,NA,4,4,NA,NA,NA,NA,NA,NA,8,2,3,2,2,1,4,3,4,1,2,2,1,3,1,2,1,1,4,3,2,3,3,5,80,3,3
2,1,1,1,53,3,8,4,5,5,6,1,2421,55.8,70.09,62,NA,NA,NA,5,2,NA,19,19,NA,NA,NA,19,19,2,NA,7,3,9000,53,NA,1,NA,1,10,4,3,NA,4,4,1,3,3,4,1,NA,1,2,2,2,2,2,3,NA,NA,NA,NA,NA,50,3,3
3,1,1,2,89,5,7,4,4,4,4,4,NA,NA,NA,NA,NA,NA,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,3,2011,10,5,2,NA,2,9,4,3,NA,3,4,2,1,1,2,2,NA,2,NA,2,1,1,1,2,NA,NA,NA,NA,NA,10,4,3
4,2,1,1,79,5,17,1,4,5,5,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,12,12,NA,15,NA,15,15,1,1,7,3,NA,NA,NA,NA,NA,NA,9,3,1,2,2,3,2,3,3,2,1,2,1,3,1,NA,1,1,3,4,4,5,3,5,160,2,2
5,1,1,2,62,4,8,4,2,3,3,4,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,19,NA,19,19,1,2,7,4,NA,NA,NA,NA,NA,NA,8,3,2,2,2,2,3,3,3,2,1,1,1,3,1,NA,1,1,3,3,3,2,3,4,50,7,3
6,1,1,1,23,1,2,4,7,NA,NA,4,NA,NA,NA,NA,NA,NA,1,5,1,NA,NA,NA,NA,12,NA,12,12,1,1,4,1,NA,NA,NA,NA,NA,NA,8,4,3,1,3,4,3,2,2,2,1,1,2,NA,1,2,2,1,2,2,3,3,3,3,90,8,6
7,1,1,2,31,2,8,4,5,6,8,2,2310,78.16,85.41,32,2,NA,NA,5,1,1900,NA,14,5000,NA,5000,NA,23,1,2,4,1,2012,9,6,1,NA,1,7,3,3,2,2,2,3,3,3,2,2,2,1,2,2,2,1,1,1,1,2,3,4,3,50,10,7
8,1,1,2,57,3,12,2,4,5,5,1,4110,42.09,43.33,39.5,1,NA,NA,1,NA,NA,15,15,NA,20,NA,20,20,1,1,7,4,NA,NA,NA,NA,NA,NA,5,3,1,2,3,2,3,3,4,2,2,1,1,2,1,2,1,1,2,3,2,4,4,4,70,4,1
9,2,1,1,68,4,17,1,3,5,7,4,NA,NA,NA,NA,NA,NA,2,1,NA,1300,NA,11,1900,NA,1900,NA,14,1,1,5,3,1975,46,1,NA,2,2,5,3,2,2,2,2,4,3,4,2,2,2,1,2,1,1,1,1,4,4,3,3,4,4,160,3,3
10,1,1,2,51,3,7,4,3,3,3,2,3221,44,56,30,1,NA,NA,5,1,NA,13,13,NA,NA,NA,NA,NA,1,4,7,4,NA,NA,NA,NA,NA,NA,9,3,3,2,2,3,3,3,4,1,1,1,1,2,1,2,1,1,3,2,2,4,4,5,60,4,3
11,1,3,1,57,3,95,NA,NA,5,5,4,NA,NA,NA,NA,NA,NA,3,3,2,356,NA,3,NA,3,NA,3,3,1,3,6,4,NA,NA,NA,NA,NA,NA,6,1,2,1,2,2,2,2,3,2,1,NA,2,NA,NA,1,NA,2,2,4,5,2,2,2,90,9,2
12,2,1,1,85,5,17,1,5,5,7,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,16,16,NA,19,NA,19,19,1,1,NA,3,1962,59,5,NA,1,1,7,3,4,NA,NA,NA,NA,NA,NA,1,2,NA,1,2,2,2,2,1,4,NA,NA,NA,NA,NA,120,10,4
13,2,1,2,55,3,15,1,3,5,5,2,3412,49,52.72,33,1,NA,NA,1,NA,NA,13,13,NA,19,NA,19,19,1,1,7,4,NA,NA,NA,NA,NA,NA,7,2,1,2,2,3,3,3,3,2,2,1,1,2,2,2,1,2,3,2,4,3,2,4,140,NA,NA
14,1,3,1,26,1,95,NA,2,5,5,1,3432,38,57.64,55.5,NA,NA,NA,5,2,NA,14,14,NA,NA,NA,14,14,2,NA,4,4,NA,NA,NA,NA,NA,NA,8,3,4,1,4,3,2,2,2,3,1,1,1,2,2,2,2,1,2,2,3,3,3,2,60,3,3
15,1,3,1,38,2,95,NA,NA,5,6,1,2351,62.28,77.88,39,1,NA,NA,4,2,NA,16,16,NA,NA,NA,16,16,2,NA,3,1,NA,NA,NA,NA,NA,NA,6,2,2,2,1,1,4,4,4,1,2,2,1,3,1,1,1,1,3,3,3,4,3,3,90,10,7
16,1,1,2,58,3,8,4,3,5,5,2,3221,44,56,22,1,NA,NA,1,NA,NA,13,13,NA,15,NA,15,15,1,2,7,1,9000,58,NA,2,NA,1,5,3,2,2,4,4,1,3,2,2,2,1,1,1,2,2,1,1,4,2,3,3,4,4,50,8,6
17,1,1,1,54,3,9,4,2,3,3,1,7222,39.96,33.16,43,3,NA,NA,4,1,NA,16,16,NA,19,NA,19,19,1,1,7,4,2014,7,1,1,NA,2,7,2,3,NA,2,3,2,2,3,1,2,NA,1,3,1,1,1,1,4,NA,NA,NA,NA,NA,70,1,1
18,1,1,1,45,3,7,4,5,5,7,2,2330,62.63,82.41,41,1,NA,NA,1,NA,NA,20,20,NA,20,NA,20,20,1,3,7,1,2010,11,1,1,NA,2,7,4,3,2,3,3,3,2,3,2,1,NA,1,2,2,1,2,2,2,2,3,2,3,4,50,10,7
19,1,1,1,49,3,11,4,2,3,3,1,7223,37.87,28.7,35,1,NA,NA,5,2,NA,16,16,NA,NA,NA,16,16,2,NA,4,3,2012,9,1,1,NA,1,7,2,3,1,2,1,2,2,3,1,2,2,1,3,1,2,1,1,2,2,3,3,4,2,10,4,3
20,1,1,1,26,1,6,4,5,5,7,1,2411,58.45,76.65,45,1,NA,NA,5,2,2400,NA,16,NA,NA,2400,NA,16,2,NA,4,1,2019,2,5,2,NA,2,6,4,3,2,3,3,2,3,3,1,1,1,2,NA,2,2,2,2,1,3,4,2,3,3,60,10,7
21,1,1,2,83,5,1,4,3,3,3,4,NA,NA,NA,NA,NA,NA,2,3,2,4000,NA,21,NA,NA,4000,NA,21,2,NA,7,2,1985,36,1,2,NA,2,4,4,3,NA,3,3,2,2,3,2,1,NA,1,1,1,2,1,1,3,NA,NA,NA,NA,NA,80,10,6
22,1,1,1,48,3,2,4,5,5,7,1,2330,62.63,82.41,40,1,NA,NA,1,NA,4500,NA,22,6000,NA,6000,NA,24,1,3,7,4,NA,NA,NA,NA,NA,NA,9,4,4,2,3,2,4,3,4,1,2,2,1,3,2,2,2,2,1,2,4,3,2,5,90,7,3
23,2,1,2,48,3,17,1,NA,5,7,2,3412,49,52.72,23,1,NA,NA,5,1,NA,17,17,NA,NA,NA,17,17,2,NA,4,4,9000,48,NA,NA,1,1,3,3,2,NA,3,4,3,3,4,2,2,NA,1,2,1,1,1,1,3,NA,NA,NA,NA,NA,160,3,3
24,2,1,2,73,4,17,1,5,5,5,4,NA,NA,NA,NA,NA,NA,2,1,NA,1300,NA,11,NA,NA,1300,NA,11,2,NA,7,3,1969,52,1,NA,2,2,8,3,3,2,2,3,4,3,3,1,1,2,1,2,2,2,2,1,3,3,4,2,2,5,160,2,2
25,2,1,1,62,4,12,1,3,3,3,1,5414,27.89,23.8,40,2,NA,NA,1,NA,NA,14,14,NA,16,NA,16,16,1,1,3,3,1961,60,5,NA,2,2,3,2,1,NA,1,4,1,1,3,1,3,NA,1,1,1,2,1,1,3,NA,NA,NA,NA,NA,120,9,4
26,1,2,1,25,1,1,4,5,5,7,1,2149,55,78.69,40,3,4,NA,5,2,NA,18,18,NA,NA,NA,18,18,2,NA,4,2,NA,NA,NA,NA,NA,NA,7,3,2,2,1,2,4,4,3,1,2,2,1,3,1,2,2,1,3,2,2,3,3,2,80,10,4
27,2,1,1,54,3,3,3,3,3,3,1,7412,38,36.92,38.5,1,NA,NA,5,2,2500,NA,17,NA,NA,2500,NA,17,2,NA,4,2,1997,24,1,NA,1,1,7,2,2,NA,3,3,3,3,3,2,2,NA,1,3,1,1,1,1,2,NA,NA,NA,NA,NA,120,10,4
28,1,1,2,54,3,14,2,3,3,3,1,2212,78.01,81.92,37.5,1,NA,NA,1,NA,NA,17,17,NA,20,NA,20,20,1,1,7,3,NA,NA,NA,NA,NA,NA,8,2,3,2,1,2,3,3,3,2,2,1,1,2,NA,NA,1,1,2,3,4,2,3,4,10,4,3
29,2,1,1,51,3,15,1,3,3,3,1,8332,33,25.95,50,1,NA,NA,1,NA,1500,NA,13,2500,NA,2500,NA,17,1,1,4,3,9000,51,NA,NA,2,2,7,2,2,1,1,1,2,1,4,1,2,1,2,NA,1,1,1,1,2,2,4,3,3,5,140,9,3
30,2,1,2,60,4,16,1,5,5,7,2,1112,66.84,78.76,30,1,NA,NA,1,NA,NA,13,13,NA,22,NA,22,22,1,1,7,4,NA,NA,NA,NA,NA,NA,7,3,NA,2,2,3,3,3,3,2,3,1,2,NA,1,2,1,2,3,2,3,3,3,4,150,4,1
31,1,1,1,49,3,2,4,3,3,3,1,8171,28,27.25,39,3,NA,NA,1,NA,NA,18,18,NA,23,NA,23,23,1,1,7,3,1972,49,2,2,NA,1,9,4,3,2,2,3,2,2,1,2,1,1,1,2,2,2,2,2,2,4,4,2,2,5,90,7,4
32,1,1,2,57,3,1,4,2,3,3,4,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,16,NA,16,16,1,1,7,3,1989,32,1,2,NA,2,9,2,3,2,3,3,3,2,3,2,2,1,1,1,2,2,2,1,4,3,4,2,3,5,80,7,3
33,2,1,1,58,3,15,1,5,5,7,1,3341,48.81,62.13,40,1,NA,NA,1,NA,4700,NA,22,6100,NA,6100,NA,24,1,1,7,4,1995,26,1,NA,2,2,9,3,3,NA,2,1,3,3,4,2,2,NA,1,2,1,2,1,2,2,NA,NA,NA,NA,NA,120,9,4
34,1,1,2,58,3,1,4,5,5,7,1,4110,42.09,43.33,40,1,NA,NA,1,NA,NA,17,17,NA,19,NA,19,19,1,1,7,4,9000,58,NA,2,NA,2,7,3,2,1,2,3,3,2,3,2,2,2,1,3,1,2,1,2,2,2,3,4,3,5,80,7,3
35,1,2,2,39,2,95,NA,3,3,3,2,5222,42.78,44.14,40,1,NA,NA,1,NA,NA,14,14,NA,20,NA,20,20,1,3,4,1,2008,13,3,1,NA,1,8,2,2,NA,2,1,1,2,3,1,2,NA,1,1,1,1,1,1,3,NA,NA,NA,NA,NA,20,10,7
36,1,1,1,82,5,9,4,2,5,5,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,7,4,1970,51,NA,2,NA,2,8,3,2,2,1,1,2,3,3,2,2,2,1,3,1,1,1,1,2,3,3,3,3,4,70,4,1
37,2,1,2,77,5,16,1,3,3,3,4,NA,NA,NA,NA,NA,NA,2,3,2,NA,14,14,NA,NA,NA,14,14,2,NA,3,2,NA,NA,NA,NA,NA,NA,7,NA,2,2,2,3,2,2,2,2,2,1,1,2,1,2,1,1,3,3,2,3,3,1,150,8,6
38,1,1,1,79,5,2,4,5,6,8,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,23,23,NA,23,NA,23,23,1,1,7,2,NA,NA,NA,NA,NA,NA,8,4,3,1,3,4,1,2,1,2,1,1,1,2,2,2,2,2,2,3,4,2,2,5,90,7,3
39,1,3,2,22,1,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,NA,3,1,NA,3,1,2,1,2,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,50,8,6
40,1,1,1,77,5,11,4,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,19,19,3500,NA,3500,NA,20,1,1,7,2,NA,NA,NA,NA,NA,NA,8,3,3,2,2,3,2,2,2,1,1,1,1,2,2,2,1,2,3,3,3,2,3,3,30,8,6
41,1,1,2,54,3,4,4,3,3,3,2,5223,42.78,28.48,25.5,1,3,NA,1,NA,NA,8,8,NA,21,NA,21,21,1,1,3,1,NA,NA,NA,NA,NA,NA,6,3,2,1,3,4,3,2,3,3,2,1,1,1,2,1,1,1,3,2,3,4,4,4,111,10,7
42,1,1,2,50,3,10,4,5,5,6,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,7,7,NA,14,NA,14,14,1,3,4,4,2015,6,4,1,NA,1,5,2,2,NA,1,2,1,2,4,1,2,NA,1,3,1,1,1,1,4,NA,NA,NA,NA,NA,100,7,3
43,1,1,2,23,1,8,4,5,3,3,3,NA,NA,NA,NA,NA,NA,1,5,2,NA,15,15,NA,NA,NA,15,15,2,NA,4,1,NA,NA,NA,NA,NA,NA,6,4,4,1,3,2,2,3,2,1,1,2,1,2,2,1,2,1,1,1,2,4,3,2,60,10,7
44,1,1,2,25,1,2,4,4,5,6,1,5412,40.89,51.5,40,1,4,NA,5,1,NA,19,19,NA,23,NA,23,23,1,1,4,2,2020,1,4,2,NA,2,9,3,4,1,1,2,3,3,4,1,2,1,1,2,1,2,1,1,1,2,4,3,1,5,90,4,3
45,1,1,1,65,4,2,4,2,3,3,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,12,12,NA,19,NA,19,19,1,1,4,3,1995,26,5,2,NA,2,7,2,2,2,2,1,4,4,4,1,2,2,1,3,1,2,1,2,3,4,4,2,3,4,90,8,5
46,1,1,1,56,3,1,4,3,3,3,1,4110,42.09,43.33,45,1,NA,NA,1,NA,2900,NA,18,2900,NA,2900,NA,18,1,4,7,2,9000,56,NA,1,NA,1,8,3,1,2,2,3,4,4,4,2,1,1,1,2,1,2,1,1,3,2,2,4,3,4,80,9,3
47,1,1,1,72,4,9,4,2,5,5,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,13,13,NA,13,NA,13,13,1,1,7,4,1979,42,1,2,NA,2,10,3,3,1,2,1,3,2,3,1,1,2,1,2,1,2,1,2,1,5,5,1,1,5,70,7,1
48,2,1,1,52,3,14,1,3,5,5,1,3122,45.94,40.54,60,1,NA,NA,1,NA,NA,14,14,NA,19,NA,19,19,1,1,7,3,NA,NA,NA,NA,NA,NA,9,2,1,2,2,4,2,4,4,1,1,1,1,1,1,1,1,1,4,2,3,4,2,3,130,4,4
49,1,1,1,68,4,2,4,3,5,5,4,NA,NA,NA,NA,NA,NA,2,5,2,NA,15,15,NA,NA,NA,15,15,2,NA,7,4,NA,NA,NA,NA,NA,NA,8,3,2,2,2,3,3,4,4,1,2,2,1,3,1,2,1,1,3,3,3,3,3,4,90,9,2
50,1,1,2,55,3,6,4,5,6,8,1,2310,78.16,85.41,50,NA,NA,NA,5,2,NA,21,21,NA,NA,NA,21,21,2,NA,4,1,2010,11,4,2,NA,1,9,4,4,2,3,2,4,3,3,1,1,2,1,2,2,2,2,2,1,4,5,2,3,5,60,10,7
51,2,1,1,31,2,13,1,5,5,5,1,NA,NA,NA,40,1,2,NA,5,2,3300,NA,19,NA,NA,3300,NA,19,2,NA,3,2,2018,3,4,NA,1,1,9,3,4,2,1,2,4,3,4,1,2,2,1,3,2,2,2,2,2,4,4,2,4,4,112,10,7
52,2,1,1,79,5,15,1,4,5,7,4,NA,NA,NA,NA,NA,NA,2,1,NA,1600,NA,13,2100,NA,2100,NA,15,1,1,3,1,NA,NA,NA,NA,NA,NA,8,3,NA,2,2,2,3,3,4,2,2,2,1,3,1,2,1,1,3,5,5,1,3,5,140,10,7
53,2,1,1,62,4,17,1,3,5,5,4,NA,NA,NA,NA,NA,NA,2,5,2,NA,7,7,NA,13,NA,13,13,1,1,7,3,9000,62,NA,NA,1,1,5,5,1,NA,1,1,4,4,4,1,2,NA,1,3,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,160,2,2
54,1,1,2,67,4,8,4,3,3,3,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,8,8,NA,20,NA,20,20,1,1,4,1,NA,NA,NA,NA,NA,NA,8,3,3,2,1,2,3,2,3,1,1,2,1,3,1,2,2,2,2,2,2,3,3,2,50,10,7
55,1,NA,1,66,4,8,4,5,5,7,4,NA,NA,NA,NA,NA,NA,2,5,2,3300,NA,19,NA,NA,3300,NA,19,2,NA,7,3,2011,10,2,1,NA,1,8,4,3,NA,3,3,1,2,2,2,1,NA,1,2,1,2,1,1,2,NA,NA,NA,NA,NA,50,9,5
56,1,1,2,23,1,2,4,4,5,6,1,3412,49,52.72,39,1,NA,NA,5,2,1950,NA,14,NA,NA,1950,NA,14,2,NA,4,4,NA,NA,NA,NA,NA,NA,6,2,2,2,3,2,3,4,4,1,2,1,2,NA,1,2,1,NA,3,2,2,3,4,3,90,4,2
57,1,1,2,83,5,10,4,2,3,3,4,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,7,1,1962,59,4,1,NA,2,9,5,3,1,3,3,2,2,2,2,1,1,1,2,2,2,2,2,2,2,3,3,3,5,80,10,6
58,1,1,2,62,4,1,4,3,3,3,2,9333,20.3,17.69,38,1,NA,NA,1,NA,NA,4,4,NA,17,NA,17,17,1,1,7,4,NA,NA,NA,NA,NA,NA,8,3,3,1,2,1,4,4,4,1,2,2,1,3,1,2,1,1,2,5,2,3,3,2,80,10,6
59,2,1,1,41,2,15,1,5,5,5,1,7115,36.76,26.62,50,NA,4,NA,5,1,NA,15,15,NA,20,NA,20,20,1,3,4,2,NA,NA,NA,NA,NA,NA,8,2,2,1,3,3,2,2,2,2,2,1,1,2,1,2,NA,2,2,2,3,4,2,5,140,9,3
60,2,1,2,57,3,95,NA,5,5,6,2,1321,64,65.42,25,1,NA,NA,1,NA,NA,NA,NA,NA,25,NA,25,25,1,1,6,1,NA,NA,NA,NA,NA,NA,10,4,2,1,3,3,2,2,2,2,1,1,1,2,2,2,2,2,1,3,4,2,2,5,140,10,7
61,2,1,1,22,1,15,1,5,3,3,3,NA,NA,NA,NA,NA,NA,1,5,1,NA,9,9,NA,19,NA,19,19,1,1,4,1,NA,NA,NA,NA,NA,NA,9,3,3,1,3,3,3,3,2,1,1,1,1,2,2,2,2,2,1,3,5,2,2,5,140,10,7
62,1,1,1,38,2,7,4,5,5,7,1,2512,51,74.66,43,1,NA,NA,5,1,3700,NA,20,5000,NA,5000,NA,23,1,3,7,4,2020,1,1,1,NA,1,7,4,4,NA,2,2,3,3,3,2,1,NA,1,3,2,1,1,2,1,NA,NA,NA,NA,NA,30,7,3
63,2,1,1,69,4,17,1,5,5,7,4,NA,NA,NA,NA,NA,NA,2,1,NA,750,NA,7,1600,NA,1600,NA,13,1,1,7,3,9000,69,NA,NA,2,2,6,2,2,2,2,2,3,3,3,2,3,2,1,3,2,2,1,2,3,3,3,3,3,5,160,2,2
64,1,1,2,62,4,95,NA,2,2,2,1,3256,50,44.92,38.5,1,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1989,32,6,1,NA,2,NA,2,4,NA,2,2,2,2,3,1,1,NA,2,NA,1,2,1,1,5,NA,NA,NA,NA,NA,111,10,7
65,1,1,1,48,3,11,4,4,5,5,1,1349,75,65.01,43,3,NA,NA,1,NA,4000,NA,21,4000,NA,4000,NA,21,1,3,7,2,1976,45,1,2,NA,2,8,3,3,1,3,3,3,3,3,2,1,1,1,1,1,2,2,1,2,3,4,3,3,5,10,9,4
66,1,1,1,64,4,1,4,5,5,7,4,NA,NA,NA,NA,NA,NA,2,1,NA,2800,NA,18,3400,NA,3400,NA,19,1,1,7,4,NA,NA,NA,NA,NA,NA,8,3,3,2,1,NA,4,3,3,1,1,1,2,NA,1,1,1,1,3,3,3,2,2,2,80,8,5
67,1,1,2,26,1,7,4,3,3,3,1,3256,50,44.92,39,1,1,NA,5,1,NA,12,12,NA,17,NA,17,17,1,1,4,2,2014,7,3,1,NA,1,7,NA,2,2,2,2,3,3,4,3,3,1,1,1,1,1,1,1,2,2,2,4,3,5,30,9,5
68,2,1,1,73,4,15,1,5,5,7,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,13,13,NA,18,NA,18,18,1,1,3,3,NA,NA,NA,NA,NA,NA,7,2,NA,1,4,1,2,2,3,1,1,2,1,3,NA,2,1,1,2,3,4,3,2,5,120,9,4
69,2,1,2,49,3,15,1,4,5,5,1,3256,50,44.92,31,1,NA,NA,1,NA,NA,13,13,NA,19,NA,19,19,1,2,7,4,1992,29,1,NA,2,2,9,2,2,NA,2,2,4,4,3,1,2,NA,1,NA,2,2,1,1,2,NA,NA,NA,NA,NA,140,5,2
70,2,1,1,38,2,15,1,3,3,3,1,5223,42.78,28.48,50.5,1,4,NA,1,NA,NA,13,13,NA,20,NA,20,20,1,2,4,2,2015,6,1,NA,2,2,8,3,2,1,3,4,3,2,2,2,1,2,1,3,1,2,1,1,2,4,5,3,2,5,140,8,6
71,1,1,1,40,2,95,NA,5,5,7,1,2521,51,75.13,45,1,NA,NA,5,2,5111,NA,23,NA,NA,5111,NA,23,2,NA,4,1,NA,NA,NA,NA,NA,NA,9,4,4,NA,2,3,1,2,1,2,1,1,1,1,2,2,2,1,2,1,4,3,3,4,90,10,7
72,2,NA,NA,NA,NA,NA,NA,5,3,3,3,NA,NA,NA,NA,NA,NA,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,3,2,4,4,4,1,2,NA,1,3,1,1,NA,NA,2,NA,NA,NA,NA,NA,112,10,7
73,2,1,1,50,3,15,1,3,3,3,2,3322,47,57.03,42,3,2,NA,1,NA,1700,NA,13,3450,NA,3450,NA,19,1,2,7,4,2005,16,1,NA,1,1,2,3,2,NA,3,4,1,2,3,1,2,NA,1,2,1,2,1,1,3,NA,NA,NA,NA,NA,140,9,3
74,2,1,1,57,3,15,1,3,3,3,1,1321,64,65.42,39,1,NA,NA,1,NA,2000,NA,15,3200,NA,3200,NA,19,1,2,7,4,2005,16,1,NA,2,2,7,2,1,NA,2,3,3,3,3,1,3,NA,2,NA,1,2,1,2,3,NA,NA,NA,NA,NA,140,7,4
75,2,1,2,42,2,17,1,3,3,3,1,2635,53.89,70.5,40,1,NA,NA,1,NA,NA,16,16,NA,23,NA,23,23,1,3,7,3,NA,NA,NA,NA,NA,NA,7,3,1,2,4,3,2,3,4,1,2,1,1,3,1,1,1,1,3,1,2,4,5,5,160,4,4
76,2,1,2,55,3,13,1,3,3,3,2,3412,49,52.72,35,1,NA,NA,1,NA,NA,14,14,NA,NA,NA,NA,NA,1,1,7,2,1994,27,2,NA,2,2,10,2,2,2,4,4,2,1,3,1,1,1,1,2,1,1,1,1,2,2,3,3,3,5,150,8,6
77,1,1,2,31,2,8,4,5,5,7,2,2634,66,85.85,30,NA,5,NA,5,1,NA,16,16,NA,23,NA,23,23,1,1,4,2,NA,NA,NA,NA,NA,NA,9,4,4,2,2,3,3,4,3,2,1,1,1,2,NA,NA,2,NA,2,3,3,3,3,4,50,8,6
78,1,1,2,55,3,2,4,1,1,1,2,9111,20,16.38,25,1,NA,NA,1,NA,NA,7,7,NA,16,NA,16,16,1,1,7,3,NA,NA,NA,NA,NA,NA,5,2,2,2,NA,1,2,3,4,2,3,2,1,3,1,2,1,1,4,2,2,3,4,5,30,4,4
79,1,1,1,68,4,3,4,3,3,3,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,12,NA,12,12,1,1,7,2,NA,NA,NA,NA,NA,NA,8,3,2,1,2,1,3,2,2,1,1,2,1,2,1,2,1,1,2,4,4,2,2,5,40,10,7
80,1,1,2,91,6,2,4,6,5,7,4,NA,NA,NA,NA,NA,NA,2,5,2,NA,18,18,NA,NA,NA,18,18,2,NA,6,2,1977,44,1,2,NA,2,NA,4,3,NA,2,2,2,2,3,2,1,NA,1,2,2,1,2,2,4,NA,NA,NA,NA,NA,90,10,4
81,2,1,2,63,4,95,NA,3,3,3,4,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,3,2003,18,6,NA,1,2,8,1,3,NA,3,4,4,1,3,2,1,NA,1,3,2,2,2,2,3,NA,NA,NA,NA,NA,120,4,4
82,2,3,2,56,3,95,NA,3,2,2,3,NA,NA,NA,NA,NA,NA,3,5,2,1600,NA,13,NA,NA,1600,NA,13,2,NA,3,2,2018,3,1,NA,2,2,NA,3,3,1,2,4,3,3,2,2,2,2,2,NA,2,2,2,2,3,4,4,2,2,5,112,10,7
83,1,1,2,77,5,2,4,2,3,3,4,NA,NA,NA,NA,NA,NA,2,3,2,NA,11,11,NA,NA,NA,11,11,2,NA,7,3,1949,72,NA,2,NA,2,10,3,3,NA,1,3,1,2,2,1,1,NA,1,2,2,2,1,2,2,NA,NA,NA,NA,NA,90,7,4
84,1,1,2,56,3,2,4,2,3,3,2,5223,42.78,28.48,26,2,NA,NA,1,NA,NA,9,9,NA,14,NA,14,14,1,1,7,5,NA,NA,NA,NA,NA,NA,9,2,1,NA,2,2,3,3,4,1,2,1,2,NA,1,1,1,2,2,3,5,2,2,5,90,7,3
85,2,1,2,30,2,16,1,5,5,6,4,NA,NA,NA,NA,NA,NA,3,5,1,850,NA,7,NA,7,NA,7,7,1,1,4,1,2014,7,3,NA,2,1,9,3,2,NA,3,2,3,3,4,1,2,NA,1,3,1,2,1,1,1,NA,NA,NA,NA,NA,140,10,7
86,1,1,2,58,3,2,4,3,3,3,2,3322,47,57.03,30,1,NA,NA,1,NA,3500,NA,20,5500,NA,5500,NA,23,1,1,7,1,9000,58,NA,2,NA,2,10,3,3,1,3,1,1,2,1,2,1,2,1,2,1,2,2,1,1,3,5,2,2,5,90,8,6
87,2,1,2,60,4,16,1,3,3,3,2,5223,42.78,28.48,30,NA,NA,NA,4,2,NA,12,12,NA,NA,NA,12,12,2,NA,7,4,NA,NA,NA,NA,NA,NA,8,2,1,2,4,4,4,4,4,1,4,1,NA,NA,1,1,1,2,1,NA,4,3,2,5,150,4,3
88,1,1,1,59,3,2,4,2,3,3,1,8131,31.55,29.14,44.5,1,NA,NA,1,NA,3000,NA,19,6000,NA,6000,NA,24,1,1,7,4,2003,18,2,2,NA,2,9,2,3,1,2,3,3,2,2,2,2,2,2,NA,1,2,1,2,2,3,4,2,2,5,90,5,3
89,1,1,2,51,3,2,4,3,3,3,2,1420,45.13,51.56,32.5,1,NA,NA,1,NA,1300,NA,11,3500,NA,3500,NA,20,1,1,7,3,1973,48,4,2,NA,2,8,2,3,NA,4,4,3,3,3,1,1,NA,1,1,1,2,1,1,3,NA,NA,NA,NA,NA,90,3,3
90,2,1,1,25,1,13,1,5,5,7,4,NA,NA,NA,NA,NA,NA,1,5,2,NA,NA,NA,50000,NA,50000,NA,26,1,4,7,3,2002,19,6,NA,1,1,3,3,2,NA,1,2,4,4,4,1,2,NA,1,3,1,1,1,2,2,NA,NA,NA,NA,NA,120,9,4
91,1,3,1,62,4,8,4,5,5,7,1,2635,53.89,70.5,39,1,NA,NA,4,1,2900,NA,18,5100,NA,5100,NA,23,1,1,4,3,NA,NA,NA,NA,NA,NA,10,3,3,2,2,1,4,4,4,1,2,2,1,3,1,2,2,2,2,4,4,2,3,5,60,7,3
