respid,eastwest,german,sex,age,agec,dg10,dg03,educ,isced97,iscd11,work,isco08,siops08,isei08,dw15,dw16,dw19c,dw03,mstat,dp01,di01a,di02a,incc,di01b,di02b,di05,di06,hhincc,dh01,dh11,aq01,gs01,gd01,gd02,dg13,dg08,dg09,dg11,ls01,id02,id01,im01,im17,im18,im19,im20,im21,iw04,pd11,pi07,pi01,pi02,lp03,lp04,lp05,lp06,hs01,hs04,hs05,hs06,hs07,hs09,land,bik,gkpol
2093,2,1,1,62,4,15,1,3,3,3,2,8189,25,24.16,36,1,NA,NA,1,NA,NA,15,15,NA,NA,NA,NA,NA,NA,NA,7,2,1998,23,1,NA,1,1,9,3,3,1,3,4,3,3,2,1,1,2,2,NA,1,2,1,1,2,4,5,2,2,5,140,8,6
2094,2,1,2,32,2,15,1,5,4,4,2,4311,34,50.37,35,1,1,NA,1,NA,NA,11,11,NA,18,NA,18,18,1,2,4,2,2009,12,1,NA,1,1,2,3,1,NA,2,4,2,3,3,2,2,NA,1,3,1,1,1,1,2,NA,NA,NA,NA,NA,140,10,7
2095,2,1,2,80,5,16,1,2,3,3,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,10,10,NA,17,NA,17,17,1,1,7,3,1987,34,1,NA,2,2,8,2,2,2,1,1,4,4,3,1,2,1,1,3,1,2,1,1,3,4,5,2,2,5,150,5,3
2096,2,1,2,78,5,4,3,5,5,7,4,NA,NA,NA,NA,NA,NA,2,2,NA,NA,9,9,NA,NA,NA,9,9,2,NA,8,1,NA,NA,NA,NA,NA,NA,8,4,1,1,1,2,NA,1,2,1,2,NA,1,2,1,1,1,1,4,2,2,3,3,5,120,10,4
2097,2,1,2,35,2,14,1,3,3,3,2,3257,48,57.25,7,1,NA,NA,5,1,NA,12,12,NA,21,NA,21,21,1,3,7,4,NA,NA,NA,NA,NA,NA,8,3,3,2,3,2,4,4,3,1,2,1,1,3,1,2,1,2,2,2,3,3,3,4,130,7,1
2098,1,1,1,38,2,9,4,4,5,6,1,NA,NA,NA,41,1,NA,NA,5,1,3335,NA,19,NA,NA,NA,NA,NA,1,1,7,4,2013,8,1,1,NA,2,7,3,3,NA,2,3,3,3,3,2,2,NA,1,3,1,1,1,1,2,NA,NA,NA,NA,NA,70,1,1
2099,2,1,1,65,4,15,1,3,3,3,4,NA,NA,NA,NA,NA,NA,3,5,2,800,NA,7,NA,NA,800,NA,7,2,NA,4,3,NA,NA,NA,NA,NA,NA,3,2,NA,1,1,1,3,2,3,2,4,NA,1,2,1,2,1,1,4,4,4,2,2,4,140,9,3
2100,1,1,2,80,5,8,4,2,2,2,4,NA,NA,NA,NA,NA,NA,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,2,NA,2,8,1,2,2,2,3,2,2,2,2,3,1,1,2,1,1,1,1,5,4,3,4,2,3,50,4,4
2101,1,1,1,65,4,7,4,4,5,7,1,3341,48.81,62.13,42,1,NA,NA,1,NA,3700,NA,20,7800,NA,7800,NA,25,1,1,7,3,NA,NA,NA,NA,NA,NA,9,4,3,2,3,3,1,2,2,1,1,1,1,2,2,2,2,2,3,3,5,2,3,5,30,NA,4
2102,1,1,1,65,4,7,4,3,3,3,1,NA,NA,NA,40,1,NA,NA,1,NA,5000,NA,23,NA,NA,NA,NA,NA,1,1,7,4,1994,27,1,1,NA,1,9,4,4,2,2,3,4,3,3,NA,1,2,1,2,1,2,1,2,1,4,4,2,2,5,50,4,4
2103,1,1,1,72,4,8,4,2,3,3,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,10,10,NA,17,NA,17,17,1,1,6,4,NA,NA,NA,NA,NA,NA,5,2,2,2,2,3,1,1,2,2,1,1,1,2,1,1,1,1,4,4,5,2,3,5,60,10,4
2104,1,1,1,47,3,7,4,5,5,7,4,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,19,NA,19,19,1,2,4,1,2003,18,3,1,NA,1,3,3,3,1,3,2,3,3,4,1,1,2,1,2,1,1,2,2,3,4,2,3,4,3,20,10,7
2105,2,1,1,34,2,14,1,3,3,3,1,NA,NA,NA,40,3,6,NA,5,2,NA,11,11,NA,NA,NA,11,11,2,NA,4,4,9000,34,NA,NA,2,2,6,2,2,NA,1,1,3,3,3,1,2,NA,1,3,1,1,1,1,3,NA,NA,NA,NA,NA,130,7,1
2106,1,1,2,54,3,2,4,4,5,5,2,4110,42.09,43.33,30,1,5,NA,5,2,NA,13,13,NA,NA,NA,13,13,2,NA,7,3,NA,NA,NA,NA,NA,NA,7,3,2,NA,2,2,2,2,3,1,2,1,1,2,1,1,1,1,2,3,3,3,2,5,90,8,5
2107,2,1,1,78,5,15,1,3,3,3,4,NA,NA,NA,NA,NA,NA,2,4,2,NA,12,12,NA,NA,NA,12,12,2,NA,4,2,1969,52,1,NA,2,2,8,2,2,2,2,2,2,2,3,2,2,1,2,NA,1,1,1,1,3,5,4,2,3,5,140,10,7
2108,1,2,2,36,2,8,4,5,5,6,1,2166,63.19,79.74,48,1,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,1984,37,1,2,NA,2,6,3,2,NA,2,2,3,4,4,1,2,NA,2,NA,1,1,1,1,3,NA,NA,NA,NA,NA,50,8,6
2109,1,1,1,43,2,2,4,5,5,7,1,3513,53,62.45,42,1,NA,NA,5,2,NA,16,16,NA,NA,NA,16,16,2,NA,4,1,2011,10,2,2,NA,2,3,2,4,NA,2,2,3,3,3,1,2,NA,1,2,1,2,1,1,3,NA,NA,NA,NA,NA,90,10,7
2110,2,1,1,63,4,17,1,3,3,3,2,7112,34,22.57,40,1,5,NA,1,NA,NA,9,9,NA,13,NA,13,13,1,1,7,4,1977,44,2,NA,2,2,5,2,2,NA,3,2,2,3,3,2,2,NA,1,3,1,2,1,2,3,NA,NA,NA,NA,NA,160,4,4
2111,2,1,2,53,3,16,1,5,5,7,1,2432,57,73.91,38,1,NA,NA,1,NA,NA,16,16,NA,21,NA,21,21,1,2,7,1,NA,NA,NA,NA,NA,NA,6,3,2,2,2,2,3,4,3,1,2,2,1,3,1,2,1,1,3,2,2,3,3,4,150,8,6
2112,1,1,1,45,3,1,4,3,3,3,1,2431,50.09,73.91,42.5,1,NA,NA,5,2,2650,NA,17,NA,NA,2650,NA,17,2,NA,7,2,NA,NA,NA,NA,NA,NA,7,3,2,1,2,3,NA,3,3,1,2,1,1,2,1,2,2,1,2,3,4,2,3,3,80,10,7
